V,I_alpha_B+0.5,I_alpha_B0,I_alpha_B-0.5
0.067,4.3232876783538134e-08,4.0916829812991444e-08,4.014481415614254e-08
0.068,4.7864970724631494e-08,4.0916829812991444e-08,3.860078284244476e-08
0.069,4.3232876783538134e-08,4.4776908097235916e-08,3.24246575876536e-08
0.07,3.7056751528746966e-08,3.937279849929365e-08,4.168884546984034e-08
0.07100000000000001,3.7056751528746966e-08,3.937279849929365e-08,4.0916829812991444e-08
0.07200000000000001,4.246086112668923e-08,3.628473587189807e-08,3.7828767185595867e-08
0.07300000000000001,3.7828767185595867e-08,4.7864970724631494e-08,3.7828767185595867e-08
0.07400000000000001,4.7092955067782606e-08,3.937279849929365e-08,4.168884546984034e-08
0.07500000000000001,4.246086112668923e-08,3.396868890135139e-08,4.0916829812991444e-08
0.07599999999999998,5.0181017695178184e-08,3.937279849929365e-08,4.632093941093371e-08
0.07699999999999999,4.4776908097235916e-08,4.7092955067782606e-08,4.8636986381480395e-08
0.07799999999999999,4.7092955067782606e-08,4.554892375408482e-08,4.554892375408482e-08
0.07899999999999999,4.014481415614254e-08,4.4776908097235916e-08,4.632093941093371e-08
0.07999999999999999,4.0916829812991444e-08,4.3232876783538134e-08,4.0916829812991444e-08
0.08099999999999999,4.400489244038702e-08,4.7864970724631494e-08,4.168884546984034e-08
0.08199999999999999,4.3232876783538134e-08,4.632093941093371e-08,4.246086112668923e-08
0.08299999999999999,5.172504900887598e-08,3.860078284244476e-08,3.860078284244476e-08
0.08399999999999999,4.554892375408482e-08,4.554892375408482e-08,4.554892375408482e-08
0.08499999999999999,4.400489244038702e-08,4.632093941093371e-08,5.6357142949969346e-08
0.086,5.481311163627156e-08,5.0953033352027085e-08,4.0916829812991444e-08
0.087,4.4776908097235916e-08,5.172504900887598e-08,5.326908032257376e-08
0.088,4.4776908097235916e-08,4.8636986381480395e-08,5.249706466572487e-08
0.089,4.940900203832929e-08,4.940900203832929e-08,5.172504900887598e-08
0.09,4.7092955067782606e-08,5.0181017695178184e-08,4.168884546984034e-08
0.091,4.8636986381480395e-08,4.632093941093371e-08,4.168884546984034e-08
0.092,5.944520557736493e-08,5.558512729312045e-08,5.558512729312045e-08
0.093,5.404109597942266e-08,5.249706466572487e-08,4.940900203832929e-08
0.094,5.172504900887598e-08,4.7092955067782606e-08,5.404109597942266e-08
0.095,4.7864970724631494e-08,5.249706466572487e-08,4.168884546984034e-08
0.096,4.7864970724631494e-08,4.400489244038702e-08,5.558512729312045e-08
0.097,5.6357142949969346e-08,5.0181017695178184e-08,6.021722123421382e-08
0.098,5.944520557736493e-08,5.558512729312045e-08,5.712915860681824e-08
0.099,5.404109597942266e-08,4.8636986381480395e-08,5.481311163627156e-08
0.1,5.404109597942266e-08,4.554892375408482e-08,5.712915860681824e-08
